system,n,WER,CER,EM%
llama32_1b__beta_0.2,50,0.21052631578947367,0.08362369337979095,52.0
llama32_1b__beta_0.4,50,0.21804511278195488,0.08536585365853659,52.0
llama32_1b__beta_0.55,50,0.22556390977443608,0.08536585365853659,50.0
llama32_1b__beta_0.7,50,0.23308270676691728,0.08710801393728224,48.0
llama32_1b__beta_0.8,50,0.24060150375939848,0.09059233449477352,46.0
llama32_1b__beta_0,50,0.21052631578947367,0.08362369337979095,52.0
llama32_3b__beta_0.2,50,0.3383458646616541,0.14111498257839722,26.0
llama32_3b__beta_0.4,50,0.3383458646616541,0.14111498257839722,26.0
llama32_3b__beta_0.55,50,0.3383458646616541,0.1445993031358885,26.0
llama32_3b__beta_0.7,50,0.3383458646616541,0.1445993031358885,26.0
llama32_3b__beta_0.8,50,0.3533834586466165,0.1480836236933798,24.0
llama32_3b__beta_0,50,0.3383458646616541,0.14111498257839722,26.0
mistral7b_v03__beta_0.2,50,0.3458646616541353,0.14111498257839722,24.0
mistral7b_v03__beta_0.4,50,0.3458646616541353,0.14111498257839722,24.0
mistral7b_v03__beta_0.55,50,0.3308270676691729,0.13937282229965156,28.0
mistral7b_v03__beta_0.7,50,0.3308270676691729,0.13763066202090593,28.0
mistral7b_v03__beta_0.8,50,0.3308270676691729,0.13763066202090593,28.0
mistral7b_v03__beta_0,50,0.3533834586466165,0.1445993031358885,22.0
qwen25_3b_instruct__beta_0.2,50,0.3383458646616541,0.13066202090592335,32.0
qwen25_3b_instruct__beta_0.4,50,0.3383458646616541,0.13066202090592335,32.0
qwen25_3b_instruct__beta_0.55,50,0.3383458646616541,0.13066202090592335,32.0
qwen25_3b_instruct__beta_0.7,50,0.3533834586466165,0.14111498257839722,30.0
qwen25_3b_instruct__beta_0.8,50,0.3533834586466165,0.14111498257839722,30.0
qwen25_3b_instruct__beta_0,50,0.3383458646616541,0.13240418118466898,32.0
