system,n,WER,CER,EM%,ms/utt,chars/s,peakGB
ar_beam,50,0.3333333333333333,0.13358778625954199,34.0,1557.6,7.8,3.09
ar_greedy,50,0.3560606060606061,0.1431297709923664,32.0,1553.3,7.8,3.09
ctc_grammar,50,0.23484848484848486,0.08969465648854962,46.0,1547.7,7.9,3.09
ctc_grammar_ar,50,0.26515151515151514,0.1049618320610687,38.0,1571.2,7.7,3.09
ctc_greedy,50,0.29545454545454547,0.10877862595419847,34.0,1548.2,7.7,3.09
ctc_lexicon,50,0.23484848484848486,0.08969465648854962,46.0,1550.9,7.8,3.09
ns,50,0.3333333333333333,0.13358778625954199,34.0,1772.7,6.9,3.09
ns_ctc_select,50,0.3333333333333333,0.13358778625954199,34.0,1796.5,6.8,3.09
ns_joint_adaptive,50,0.2878787878787879,0.11450381679389313,38.0,1881.6,6.5,3.09
ns_joint_rerank,50,0.2878787878787879,0.11450381679389313,38.0,1878.2,6.5,3.09
